"Notes"	"County"	"County Code"	Deaths	Births	Death Rate
	"New Castle County, DE"	"10003"	39	6179	6.31
	"Unidentified Counties, DE"	"10999"	24	4442	5.40
	"District of Columbia, DC"	"11001"	68	9212	7.38
	"Brevard County, FL"	"12009"	32	5309	6.03
	"Broward County, FL"	"12011"	103	21928	4.70
	"Collier County, FL"	"12021"	15	3199	4.69 (Unreliable)
	"Duval County, FL"	"12031"	124	12973	9.56
	"Escambia County, FL"	"12033"	31	3733	8.30
	"Hillsborough County, FL"	"12057"	106	17126	6.19
	"Lake County, FL"	"12069"	16	3368	4.75 (Unreliable)
	"Lee County, FL"	"12071"	40	6793	5.89
	"Leon County, FL"	"12073"	26	2915	8.92
	"Manatee County, FL"	"12081"	14	3452	4.06 (Unreliable)
	"Marion County, FL"	"12083"	30	3476	8.63
	"Miami-Dade County, FL"	"12086"	148	31032	4.77
	"Orange County, FL"	"12095"	106	16919	6.27
	"Osceola County, FL"	"12097"	26	4437	5.86
	"Palm Beach County, FL"	"12099"	73	15066	4.85
	"Pasco County, FL"	"12101"	21	5084	4.13
	"Pinellas County, FL"	"12103"	46	8126	5.66
	"Polk County, FL"	"12105"	59	7847	7.52
	"St. Lucie County, FL"	"12111"	13	3123	4.16 (Unreliable)
	"Sarasota County, FL"	"12115"	10	2878	3.47 (Unreliable)
	"Seminole County, FL"	"12117"	20	4663	4.29
	"Volusia County, FL"	"12127"	37	4863	7.61
	"Unidentified Counties, FL"	"12999"	243	33232	7.31
	"Chatham County, GA"	"13051"	20	3557	5.62
	"Clayton County, GA"	"13063"	36	3773	9.54
	"Cobb County, GA"	"13067"	58	8927	6.50
	"DeKalb County, GA"	"13089"	74	10785	6.86
	"Fulton County, GA"	"13121"	92	12652	7.27
	"Gwinnett County, GA"	"13135"	59	10855	5.44
	"Unidentified Counties, GA"	"13999"	550	75623	7.27
	"Honolulu County, HI"	"15003"	90	12168	7.40
	"Unidentified Counties, HI"	"15999"	25	4804	5.20
	"Ada County, ID"	"16001"	21	4861	4.32
	"Unidentified Counties, ID"	"16999"	87	16542	5.26
	"Cook County, IL"	"17031"	425	61797	6.88
	"DuPage County, IL"	"17043"	42	10298	4.08
	"Kane County, IL"	"17089"	39	6337	6.15
	"Lake County, IL"	"17097"	30	7095	4.23
	"McHenry County, IL"	"17111"	12	2987	4.02 (Unreliable)
	"Madison County, IL"	"17119"	28	2865	9.77
	"St. Clair County, IL"	"17163"	21	3109	6.75
	"Will County, IL"	"17197"	46	7318	6.29
	"Winnebago County, IL"	"17201"	20	3497	5.72
	"Unidentified Counties, IL"	"17999"	286	39512	7.24
	"Allen County, IN"	"18003"	33	5240	6.30
	"Hamilton County, IN"	"18057"	14	3724	3.76 (Unreliable)
	"Lake County, IN"	"18089"	36	5785	6.22
	"Marion County, IN"	"18097"	116	14036	8.26
	"St. Joseph County, IN"	"18141"	26	3538	7.35
	"Unidentified Counties, IN"	"18999"	324	49323	6.57
	"Polk County, IA"	"19153"	33	6655	4.96
	"Unidentified Counties, IA"	"19999"	155	31130	4.98
	"Johnson County, KS"	"20091"	25	7140	3.50
	"Sedgwick County, KS"	"20173"	60	6733	8.91
	"Unidentified Counties, KS"	"20999"	146	22388	6.52
	"Fayette County, KY"	"21067"	24	3921	6.12
	"Jefferson County, KY"	"21111"	56	9584	5.84
	"Unidentified Counties, KY"	"21999"	246	40417	6.09
	"Caddo Parish, LA"	"22017"	28	3072	9.11
	"East Baton Rouge Parish, LA"	"22033"	55	5780	9.52
	"Jefferson Parish, LA"	"22051"	37	5649	6.55
	"Orleans Parish, LA"	"22071"	32	4656	6.87
	"Unidentified Counties, LA"	"22999"	304	40458	7.51
	"Cumberland County, ME"	"23005"	14	2717	5.15 (Unreliable)
	"Unidentified Counties, ME"	"23999"	54	9594	5.63
	"Anne Arundel County, MD"	"24003"	22	6781	3.24
	"Baltimore County, MD"	"24005"	65	9787	6.64
	"Howard County, MD"	"24027"	22	3405	6.46
	"Montgomery County, MD"	"24031"	53	12401	4.27
	"Prince George's County, MD"	"24033"	94	12159	7.73
	"Baltimore city, MD"	"24510"	63	7681	8.20
	"Unidentified Counties, MD"	"24999"	108	18866	5.72
	"Bristol County, MA"	"25005"	24	5487	4.37
	"Essex County, MA"	"25009"	40	8377	4.77
	"Hampden County, MA"	"25013"	29	4926	5.89
	"Middlesex County, MA"	"25017"	46	16603	2.77
	"Norfolk County, MA"	"25021"	21	7033	2.99
	"Plymouth County, MA"	"25023"	20	5028	3.98
	"Suffolk County, MA"	"25025"	38	9072	4.19
	"Worcester County, MA"	"25027"	49	8335	5.88
	"Unidentified Counties, MA"	"25999"	21	4248	4.94
	"Genesee County, MI"	"26049"	26	4558	5.70
	"Ingham County, MI"	"26065"	19	3049	6.23 (Unreliable)
	"Kalamazoo County, MI"	"26077"	16	3074	5.20 (Unreliable)
	"Kent County, MI"	"26081"	40	8648	4.63
	"Macomb County, MI"	"26099"	47	9171	5.12
	"Oakland County, MI"	"26125"	85	13182	6.45
	"Ottawa County, MI"	"26139"	12	3138	3.82 (Unreliable)
	"Washtenaw County, MI"	"26161"	19	3527	5.39 (Unreliable)
	"Wayne County, MI"	"26163"	214	22910	9.34
	"Unidentified Counties, MI"	"26999"	205	38775	5.29
	"Anoka County, MN"	"27003"	19	4241	4.48 (Unreliable)
	"Dakota County, MN"	"27037"	22	5140	4.28
	"Hennepin County, MN"	"27053"	73	15845	4.61
	"Ramsey County, MN"	"27123"	51	7517	6.78
	"Unidentified Counties, MN"	"27999"	176	34601	5.09
	"Unidentified Counties, MS"	"28999"	311	37000	8.41
	"Greene County, MO"	"29077"	17	3309	5.14 (Unreliable)
	"Jackson County, MO"	"29095"	66	9065	7.28
	"St. Charles County, MO"	"29183"	23	4306	5.34
	"St. Louis County, MO"	"29189"	75	11368	6.60
	"St. Louis city, MO"	"29510"	36	4127	8.72
	"Unidentified Counties, MO"	"29999"	247	41094	6.01
	"Unidentified Counties, MT"	"30999"	55	11513	4.78
	"Douglas County, NE"	"31055"	53	8342	6.35
	"Lancaster County, NE"	"31109"	28	3893	7.19
	"Unidentified Counties, NE"	"31999"	65	13253	4.90
	"Clark County, NV"	"32003"	161	26773	6.01
	"Washoe County, NV"	"32031"	34	5399	6.30
