"GHO","PUBLISHSTATE","YEAR","REGION","WORLDBANKINCOMEGROUP","COUNTRY","Display Value","Numeric","Low","High","Comments"
"GHED_CHEGDP_SHA2011","PUBLISHED","2016","AMR","WB_HI","USA","17.05","17.05000","","",""
"GHED_CHEGDP_SHA2011","PUBLISHED","2017","AMR","WB_HI","USA","17.00","17.00000","","",""
"GHED_CHEGDP_SHA2011","PUBLISHED","2018","AMR","WB_HI","USA","16.89","16.89000","","",""
"GHED_CHEGDP_SHA2011","PUBLISHED","2012","AMR","WB_HI","URY","8.76","8.76000","","",""
"GHED_CHEGDP_SHA2011","PUBLISHED","2013","AMR","WB_HI","URY","8.82","8.82000","","",""
"GHED_CHEGDP_SHA2011","PUBLISHED","2014","AMR","WB_HI","URY","8.77","8.77000","","",""
"GHED_CHEGDP_SHA2011","PUBLISHED","2015","AMR","WB_HI","URY","9.01","9.01000","","",""
"GHED_CHEGDP_SHA2011","PUBLISHED","2016","AMR","WB_HI","URY","9.42","9.42000","","",""
"GHED_CHEGDP_SHA2011","PUBLISHED","2010","EUR","WB_LMI","UZB","5.12","5.12000","","",""
"GHED_CHEGDP_SHA2011","PUBLISHED","2011","EUR","WB_LMI","UZB","5.28","5.28000","","",""
"GHED_CHEGDP_SHA2011","PUBLISHED","2012","EUR","WB_LMI","UZB","5.59","5.59000","","",""
"GHED_CHEGDP_SHA2011","PUBLISHED","2013","EUR","WB_LMI","UZB","5.66","5.66000","","",""
"GHED_CHEGDP_SHA2011","PUBLISHED","2008","WPR","WB_LMI","VUT","3.05","3.05000","","",""
"GHED_CHEGDP_SHA2011","PUBLISHED","2009","WPR","WB_LMI","VUT","3.16","3.16000","","",""
"GHED_CHEGDP_SHA2011","PUBLISHED","2010","WPR","WB_LMI","VUT","3.38","3.38000","","",""
"GHED_CHEGDP_SHA2011","PUBLISHED","2011","WPR","WB_LMI","VUT","3.50","3.50000","","",""
"GHED_CHEGDP_SHA2011","PUBLISHED","2006","AMR","WB_UMI","VEN","8.10","8.10000","","",""
"GHED_CHEGDP_SHA2011","PUBLISHED","2007","AMR","WB_UMI","VEN","7.78","7.78000","","",""
"GHED_CHEGDP_SHA2011","PUBLISHED","2008","AMR","WB_UMI","VEN","6.41","6.41000","","",""
"GHED_CHEGDP_SHA2011","PUBLISHED","2009","AMR","WB_UMI","VEN","7.55","7.55000","","",""
"GHED_CHEGDP_SHA2011","PUBLISHED","2003","WPR","WB_LMI","VNM","4.66","4.66000","","",""
"GHED_CHEGDP_SHA2011","PUBLISHED","2004","WPR","WB_LMI","VNM","4.82","4.82000","","",""
