"GHO","DATASOURCE","PUBLISHSTATE","YEAR","REGION","WORLDBANKINCOMEGROUP","COUNTRY","EDUCATIONLEVEL","SEX","RESIDENCEAREATYPE","WEALTHQUINTILE","Display Value","Numeric","Low","High","Comments"
"pncall3","EQ_DHS","PUBLISHED","2006","EUR","","AZE","","","URB","","94.4","94.37000","","",""
"pncall5","EQ_DHS","PUBLISHED","2006","EUR","","AZE","","","URB","","93.1","93.06000","","",""
"pncall3","EQ_DHS","PUBLISHED","2007","SEAR","","BGD","","","URB","","40.0","40.01000","","",""
"pncall5","EQ_DHS","PUBLISHED","2006","AFR","","BEN","","","RUR","","76.7","76.72000","","",""
"pncall3","EQ_DHS","PUBLISHED","2005","WPR","","KHM","","","URB","","58.8","58.84000","","",""
"pncall5","EQ_DHS","PUBLISHED","2005","WPR","","KHM","","","URB","","58.3","58.30000","","",""
"pncall3","EQ_DHS","PUBLISHED","2010","WPR","","KHM","","","RUR","","63.5","63.49000","","",""
"pncall5","EQ_DHS","PUBLISHED","2010","WPR","","KHM","","","RUR","","57.8","57.80000","","",""
"pncall3","EQ_DHS","PUBLISHED","2005","AFR","","COG","","","URB","","96.3","96.30000","","",""
"pncall3","EQ_DHS","PUBLISHED","2007","AFR","","COD","","","RUR","","62.5","62.52000","","",""
"pncall5","EQ_DHS","PUBLISHED","2007","AFR","","COD","","","RUR","","62.4","62.41000","","",""
"pncall3","EQ_DHS","PUBLISHED","2007","AMR","","DOM","","","RUR","","97.8","97.75000","","",""
"pncall5","EQ_DHS","PUBLISHED","2007","AMR","","DOM","","","RUR","","98.0","97.96000","","",""
"pncall5","EQ_DHS","PUBLISHED","2008","EMR","","EGY","","","RUR","","64.6","64.55000","","",""
"pncall5","EQ_DHS","PUBLISHED","2011","AFR","","ETH","","","URB","","53.4","53.45000","","",""
"pncall3","EQ_DHS","PUBLISHED","2009","AMR","","GUY","","","URB","","99.0","99.03000","","",""
"pncall5","EQ_DHS","PUBLISHED","2009","AMR","","GUY","","","URB","","99.1","99.10000","","",""
"pncall3","EQ_DHS","PUBLISHED","2005","SEAR","","IND","","","RUR","","32.1","32.14000","","",""
"pncall3","EQ_DHS","PUBLISHED","2007","SEAR","","IDN","","","URB","","77.6","77.62000","","",""
"pncall5","EQ_DHS","PUBLISHED","2007","SEAR","","IDN","","","URB","","76.9","76.94000","","",""
"pncall3","EQ_DHS","PUBLISHED","2007","AFR","","LBR","","","URB","","72.6","72.56000","","",""
"pncall5","EQ_DHS","PUBLISHED","2010","AFR","","MWI","","","RUR","","77.3","77.28000","","",""
"pncall5","EQ_DHS","PUBLISHED","2006","AFR","","MLI","","","RUR","","34.9","34.93000","","",""
"pncall3","EQ_DHS","PUBLISHED","2006","SEAR","","NPL","","","URB","","52.6","52.64000","","",""
"pncall5","EQ_DHS","PUBLISHED","2006","SEAR","","NPL","","","URB","","53.2","53.17000","","",""
"pncall3","EQ_DHS","PUBLISHED","2011","SEAR","","NPL","","","RUR","","43.2","43.24000","","",""
"pncall5","EQ_DHS","PUBLISHED","2011","SEAR","","NPL","","","RUR","","39.5","39.51000","","",""
"pncall5","EQ_DHS","PUBLISHED","2006","AFR","","NER","","","URB","","71.9","71.86000","","",""
"pncall3","EQ_DHS","PUBLISHED","2008","AFR","","NGA","","","RUR","","27.9","27.88000","","",""
"pncall3","EQ_DHS","PUBLISHED","2006","EMR","","PAK","","","URB","","63.3","63.29000","","",""
"pncall5","EQ_DHS","PUBLISHED","2006","EMR","","PAK","","","URB","","63.0","62.98000","","",""
"pncall5","EQ_DHS","PUBLISHED","2010","AFR","","RWA","","","URB","","85.5","85.53000","","",""
"pncall3","EQ_DHS","PUBLISHED","2008","AFR","","STP","","","RUR","","80.5","80.50000","","",""
"pncall3","EQ_DHS","PUBLISHED","2010","AFR","","SEN","","","RUR","","68.9","68.90000","","",""
