Geographic area,Indicator,Sex,TIME_PERIOD,OBS_VALUE,Unit multiplier,Unit of measure,Observation Status,Observation confidentaility,LOWER_BOUND,UPPER_BOUND,WGTD_SAMPL_SIZE,OBS_FOOTNOTE,SERIES_FOOTNOTE,DATA_SOURCE,SOURCE_LINK,CUSTODIAN,Time period activity related to when the data are collected,REF_PERIOD,COVERAGE_TIME,Current age
Bhutan,Number of births,Total,2018,13.022,Thousands,Persons,,,,,,,,UNPD2019,,,,,,
Bolivia (Plurinational State of),Number of births,Total,2018,247.028,Thousands,Persons,,,,,,,,UNPD2019,,,,,,
Bosnia and Herzegovina,Number of births,Total,2018,27.133,Thousands,Persons,,,,,,,,UNPD2019,,,,,,
Botswana,Number of births,Total,2018,56.047,Thousands,Persons,,,,,,,,UNPD2019,,,,,,
Brazil,Number of births,Total,2018,2915.409,Thousands,Persons,,,,,,,,UNPD2019,,,,,,
British Virgin Islands,Number of births,Total,2018,,Thousands,Persons,,,,,,,,UNPD2019,,,,,,
Brunei Darussalam,Number of births,Total,2018,6.38,Thousands,Persons,,,,,,,,UNPD2019,,,,,,
Bulgaria,Number of births,Total,2018,62.823,Thousands,Persons,,,,,,,,UNPD2019,,,,,,
Burkina Faso,Number of births,Total,2018,750.557,Thousands,Persons,,,,,,,,UNPD2019,,,,,,
Burundi,Number of births,Total,2018,436.658,Thousands,Persons,,,,,,,,UNPD2019,,,,,,
Cabo Verde,Number of births,Total,2018,10.593,Thousands,Persons,,,,,,,,UNPD2019,,,,,,
Cambodia,Number of births,Total,2018,364.824,Thousands,Persons,,,,,,,,UNPD2019,,,,,,
Cameroon,Number of births,Total,2018,893.324,Thousands,Persons,,,,,,,,UNPD2019,,,,,,
Canada,Number of births,Total,2018,386.213,Thousands,Persons,,,,,,,,UNPD2019,,,,,,
Central African Republic,Number of births,Total,2018,166.125,Thousands,Persons,,,,,,,,UNPD2019,,,,,,
Chad,Number of births,Total,2018,653.858,Thousands,Persons,,,,,,,,UNPD2019,,,,,,
Chile,Number of births,Total,2018,231.454,Thousands,Persons,,,,,,,,UNPD2019,,,,,,
China,Number of births,Total,2018,16824.442,Thousands,Persons,,,,,,,,UNPD2019,,,,,,
Colombia,Number of births,Total,2018,736.304,Thousands,Persons,,,,,,,,UNPD2019,,,,,,
Comoros,Number of births,Total,2018,26.546,Thousands,Persons,,,,,,,,UNPD2019,,,,,,
Congo,Number of births,Total,2018,172.652,Thousands,Persons,,,,,,,,UNPD2019,,,,,,
Cook Islands,Number of births,Total,2018,,Thousands,Persons,,,,,,,,UNPD2019,,,,,,
Costa Rica,Number of births,Total,2018,69.814,Thousands,Persons,,,,,,,,UNPD2019,,,,,,
Croatia,Number of births,Total,2018,36.837,Thousands,Persons,,,,,,,,UNPD2019,,,,,,
Cuba,Number of births,Total,2018,115.121,Thousands,Persons,,,,,,,,UNPD2019,,,,,,
Cyprus,Number of births,Total,2018,12.443,Thousands,Persons,,,,,,,,UNPD2019,,,,,,
Czechia,Number of births,Total,2018,110.414,Thousands,Persons,,,,,,,,UNPD2019,,,,,,
Côte d'Ivoire,Number of births,Total,2018,897.52,Thousands,Persons,,,,,,,,UNPD2019,,,,,,
Democratic People's Republic of Korea,Number of births,Total,2018,354.803,Thousands,Persons,,,,,,,,UNPD2019,,,,,,
Democratic Republic of the Congo,Number of births,Total,2018,3467.631,Thousands,Persons,,,,,,,,UNPD2019,,,,,,
Denmark,Number of births,Total,2018,61.494,Thousands,Persons,,,,,,,,UNPD2019,,,,,,
Djibouti,Number of births,Total,2018,20.575,Thousands,Persons,,,,,,,,UNPD2019,,,,,,
Dominica,Number of births,Total,2018,,Thousands,Persons,,,,,,,,UNPD2019,,,,,,
Dominican Republic,Number of births,Total,2018,207.223,Thousands,Persons,,,,,,,,UNPD2019,,,,,,
Ecuador,Number of births,Total,2018,336.476,Thousands,Persons,,,,,,,,UNPD2019,,,,,,
Egypt,Number of births,Total,2018,2590.651,Thousands,Persons,,,,,,,,UNPD2019,,,,,,
El Salvador,Number of births,Total,2018,117.233,Thousands,Persons,,,,,,,,UNPD2019,,,,,,
Equatorial Guinea,Number of births,Total,2018,43.533,Thousands,Persons,,,,,,,,UNPD2019,,,,,,
Eritrea,Number of births,Total,2018,105.159,Thousands,Persons,,,,,,,,UNPD2019,,,,,,
Estonia,Number of births,Total,2018,13.621,Thousands,Persons,,,,,,,,UNPD2019,,,,,,
Eswatini,Number of births,Total,2018,29.964,Thousands,Persons,,,,,,,,UNPD2019,,,,,,
Ethiopia,Number of births,Total,2018,3536.568,Thousands,Persons,,,,,,,,UNPD2019,,,,,,
Fiji,Number of births,Total,2018,18.843,Thousands,Persons,,,,,,,,UNPD2019,,,,,,
Finland,Number of births,Total,2018,51.168,Thousands,Persons,,,,,,,,UNPD2019,,,,,,
France,Number of births,Total,2018,729.215,Thousands,Persons,,,,,,,,UNPD2019,,,,,,
Gabon,Number of births,Total,2018,66.778,Thousands,Persons,,,,,,,,UNPD2019,,,,,,
Gambia,Number of births,Total,2018,88.013,Thousands,Persons,,,,,,,,UNPD2019,,,,,,
Georgia,Number of births,Total,2018,53.918,Thousands,Persons,,,,,,,,UNPD2019,,,,,,
Germany,Number of births,Total,2018,778.53,Thousands,Persons,,,,,,,,UNPD2019,,,,,,
Ghana,Number of births,Total,2018,875.916,Thousands,Persons,,,,,,,,UNPD2019,,,,,,
Greece,Number of births,Total,2018,81.081,Thousands,Persons,,,,,,,,UNPD2019,,,,,,
Grenada,Number of births,Total,2018,1.833,Thousands,Persons,,,,,,,,UNPD2019,,,,,,
Guatemala,Number of births,Total,2018,423.955,Thousands,Persons,,,,,,,,UNPD2019,,,,,,
Guinea,Number of births,Total,2018,452.77,Thousands,Persons,,,,,,,,UNPD2019,,,,,,
Guinea-Bissau,Number of births,Total,2018,65.87,Thousands,Persons,,,,,,,,UNPD2019,,,,,,
Guyana,Number of births,Total,2018,15.548,Thousands,Persons,,,,,,,,UNPD2019,,,,,,
Haiti,Number of births,Total,2018,270.871,Thousands,Persons,,,,,,,,UNPD2019,,,,,,
Holy See,Number of births,Total,2018,,Thousands,Persons,,,,,,,,UNPD2019,,,,,,
Honduras,Number of births,Total,2018,207.352,Thousands,Persons,,,,,,,,UNPD2019,,,,,,
Hungary,Number of births,Total,2018,91.611,Thousands,Persons,,,,,,,,UNPD2019,,,,,,
Iceland,Number of births,Total,2018,4.075,Thousands,Persons,,,,,,,,UNPD2019,,,,,,
India,Number of births,Total,2018,24164.357,Thousands,Persons,,,,,,,,UNPD2019,,,,,,
Indonesia,Number of births,Total,2018,4834.361,Thousands,Persons,,,,,,,,UNPD2019,,,,,,
Iran (Islamic Republic of),Number of births,Total,2018,1535.518,Thousands,Persons,,,,,,,,UNPD2019,,,,,,
Iraq,Number of births,Total,2018,1114.586,Thousands,Persons,,,,,,,,UNPD2019,,,,,,
Ireland,Number of births,Total,2018,62.068,Thousands,Persons,,,,,,,,UNPD2019,,,,,,
Israel,Number of births,Total,2018,170.017,Thousands,Persons,,,,,,,,UNPD2019,,,,,,
Italy,Number of births,Total,2018,457.198,Thousands,Persons,,,,,,,,UNPD2019,,,,,,
Jamaica,Number of births,Total,2018,47.241,Thousands,Persons,,,,,,,,UNPD2019,,,,,,
Japan,Number of births,Total,2018,946.61,Thousands,Persons,,,,,,,,UNPD2019,,,,,,
Jordan,Number of births,Total,2018,215.872,Thousands,Persons,,,,,,,,UNPD2019,,,,,,
Kazakhstan,Number of births,Total,2018,383.529,Thousands,Persons,,,,,,,,UNPD2019,,,,,,
Kenya,Number of births,Total,2018,1479.343,Thousands,Persons,,,,,,,,UNPD2019,,,,,,
Kiribati,Number of births,Total,2018,3.239,Thousands,Persons,,,,,,,,UNPD2019,,,,,,
Kuwait,Number of births,Total,2018,57.136,Thousands,Persons,,,,,,,,UNPD2019,,,,,,
Kyrgyzstan,Number of births,Total,2018,155.317,Thousands,Persons,,,,,,,,UNPD2019,,,,,,
Lao People's Democratic Republic,Number of births,Total,2018,166.361,Thousands,Persons,,,,,,,,UNPD2019,,,,,,
Latvia,Number of births,Total,2018,20.512,Thousands,Persons,,,,,,,,UNPD2019,,,,,,
Lebanon,Number of births,Total,2018,117.037,Thousands,Persons,,,,,,,,UNPD2019,,,,,,
Lesotho,Number of births,Total,2018,56.498,Thousands,Persons,,,,,,,,UNPD2019,,,,,,
Liberia,Number of births,Total,2018,159.56,Thousands,Persons,,,,,,,,UNPD2019,,,,,,
Libya,Number of births,Total,2018,125.934,Thousands,Persons,,,,,,,,UNPD2019,,,,,,
Liechtenstein,Number of births,Total,2018,,Thousands,Persons,,,,,,,,UNPD2019,,,,,,
Lithuania,Number of births,Total,2018,29.002,Thousands,Persons,,,,,,,,UNPD2019,,,,,,
Luxembourg,Number of births,Total,2018,6.395,Thousands,Persons,,,,,,,,UNPD2019,,,,,,
Madagascar,Number of births,Total,2018,859.564,Thousands,Persons,,,,,,,,UNPD2019,,,,,,
Malawi,Number of births,Total,2018,620.65,Thousands,Persons,,,,,,,,UNPD2019,,,,,,
Malaysia,Number of births,Total,2018,528.472,Thousands,Persons,,,,,,,,UNPD2019,,,,,,
Maldives,Number of births,Total,2018,7.129,Thousands,Persons,,,,,,,,UNPD2019,,,,,,
Mali,Number of births,Total,2018,794.665,Thousands,Persons,,,,,,,,UNPD2019,,,,,,
Malta,Number of births,Total,2018,4.311,Thousands,Persons,,,,,,,,UNPD2019,,,,,,
Marshall Islands,Number of births,Total,2018,,Thousands,Persons,,,,,,,,UNPD2019,,,,,,
Mauritania,Number of births,Total,2018,148.491,Thousands,Persons,,,,,,,,UNPD2019,,,,,,
Mauritius,Number of births,Total,2018,12.884,Thousands,Persons,,,,,,,,UNPD2019,,,,,,
Mexico,Number of births,Total,2018,2220.482,Thousands,Persons,,,,,,,,UNPD2019,,,,,,
Micronesia (Federated States of),Number of births,Total,2018,2.566,Thousands,Persons,,,,,,,,UNPD2019,,,,,,
Monaco,Number of births,Total,2018,,Thousands,Persons,,,,,,,,UNPD2019,,,,,,
Mongolia,Number of births,Total,2018,76.259,Thousands,Persons,,,,,,,,UNPD2019,,,,,,
Montenegro,Number of births,Total,2018,7.365,Thousands,Persons,,,,,,,,UNPD2019,,,,,,
Montserrat,Number of births,Total,2018,,Thousands,Persons,,,,,,,,UNPD2019,,,,,,
Morocco,Number of births,Total,2018,681.709,Thousands,Persons,,,,,,,,UNPD2019,,,,,,
Mozambique,Number of births,Total,2018,1109.61,Thousands,Persons,,,,,,,,UNPD2019,,,,,,
Myanmar,Number of births,Total,2018,943.387,Thousands,Persons,,,,,,,,UNPD2019,,,,,,
Namibia,Number of births,Total,2018,70.153,Thousands,Persons,,,,,,,,UNPD2019,,,,,,
Nauru,Number of births,Total,2018,,Thousands,Persons,,,,,,,,UNPD2019,,,,,,
Nepal,Number of births,Total,2018,563.496,Thousands,Persons,,,,,,,,UNPD2019,,,,,,
Netherlands,Number of births,Total,2018,172.27,Thousands,Persons,,,,,,,,UNPD2019,,,,,,
New Zealand,Number of births,Total,2018,59.697,Thousands,Persons,,,,,,,,UNPD2019,,,,,,
Nicaragua,Number of births,Total,2018,133.429,Thousands,Persons,,,,,,,,UNPD2019,,,,,,
Niger,Number of births,Total,2018,1037.453,Thousands,Persons,,,,,,,,UNPD2019,,,,,,
Nigeria,Number of births,Total,2018,7433.032,Thousands,Persons,,,,,,,,UNPD2019,,,,,,
Niue,Number of births,Total,2018,,Thousands,Persons,,,,,,,,UNPD2019,,,,,,
North Macedonia,Number of births,Total,2018,22.506,Thousands,Persons,,,,,,,,UNPD2019,,,,,,
Norway,Number of births,Total,2018,59.162,Thousands,Persons,,,,,,,,UNPD2019,,,,,,
Oman,Number of births,Total,2018,91.186,Thousands,Persons,,,,,,,,UNPD2019,,,,,,
Pakistan,Number of births,Total,2018,5998.664,Thousands,Persons,,,,,,,,UNPD2019,,,,,,
Palau,Number of births,Total,2018,,Thousands,Persons,,,,,,,,UNPD2019,,,,,,
Panama,Number of births,Total,2018,79.254,Thousands,Persons,,,,,,,,UNPD2019,,,,,,
Papua New Guinea,Number of births,Total,2018,233.244,Thousands,Persons,,,,,,,,UNPD2019,,,,,,
Paraguay,Number of births,Total,2018,143.127,Thousands,Persons,,,,,,,,UNPD2019,,,,,,
Peru,Number of births,Total,2018,573.394,Thousands,Persons,,,,,,,,UNPD2019,,,,,,
Philippines,Number of births,Total,2018,2190.976,Thousands,Persons,,,,,,,,UNPD2019,,,,,,
Poland,Number of births,Total,2018,371.158,Thousands,Persons,,,,,,,,UNPD2019,,,,,,
Portugal,Number of births,Total,2018,80.023,Thousands,Persons,,,,,,,,UNPD2019,,,,,,
Qatar,Number of births,Total,2018,26.459,Thousands,Persons,,,,,,,,UNPD2019,,,,,,
Republic of Korea,Number of births,Total,2018,377.124,Thousands,Persons,,,,,,,,UNPD2019,,,,,,
Republic of Moldova,Number of births,Total,2018,40.884,Thousands,Persons,,,,,,,,UNPD2019,,,,,,
Romania,Number of births,Total,2018,189.143,Thousands,Persons,,,,,,,,UNPD2019,,,,,,
Russian Federation,Number of births,Total,2018,1841.607,Thousands,Persons,,,,,,,,UNPD2019,,,,,,
Rwanda,Number of births,Total,2018,390.528,Thousands,Persons,,,,,,,,UNPD2019,,,,,,
Saint Kitts and Nevis,Number of births,Total,2018,,Thousands,Persons,,,,,,,,UNPD2019,,,,,,
