GHO,DATASOURCE,PUBLISHSTATE,YEAR,REGION,COUNTRY,EDUCATIONLEVEL,SEX,RESIDENCEAREATYPE,WEALTHQUINTILE,DHSMICSGEOREGION,WEALTHDECILE,Display Value,Numeric,Low,High,Comments
imr,EQ_MICS,PUBLISHED,2006,EMR,SOM,,,,,,WEALTHDECILE10,96.2 [78.1-117.9],96.16145,78.05825,117.92612,
imr,EQ_MICS,PUBLISHED,2006,EMR,SOM,,,,,,WEALTHDECILE03,88.8 [73.9-106.3],88.79534,73.93287,106.30261,
imr,EQ_MICS,PUBLISHED,2006,EMR,SOM,,,,,,WEALTHDECILE08,109.2 [92.5-128.4],109.17558,92.53693,128.38269,
imr,EQ_DHS,PUBLISHED,1998,AFR,ZAF,,,,,,WEALTHDECILE01,83.7 [69.1-101.1],83.69975,69.07163,101.08942,
imr,EQ_DHS,PUBLISHED,1998,AFR,ZAF,,,,,,WEALTHDECILE02,39.3 [27.3-56.2],39.26034,27.27151,56.215,
imr,EQ_DHS,PUBLISHED,1998,AFR,ZAF,,,,,,WEALTHDECILE07,34.7 [22.8-52.4],34.71148,22.84741,52.40583,
imr,EQ_DHS,PUBLISHED,1998,AFR,ZAF,,,,,,WEALTHDECILE09,21.0 [11.9-37.0],21.04266,11.87036,37.0368,
imr,EQ_DHS,PUBLISHED,2003,AFR,ZAF,,,,,,WEALTHDECILE10,No data,,,,Not available.
imr,EQ_DHS,PUBLISHED,2003,AFR,ZAF,,,,,,WEALTHDECILE08,No data,,,,Not available.
imr,EQ_DHS,PUBLISHED,2016,AFR,ZAF,,,,,,WEALTHDECILE01,58.4 [41.7-81.3],58.39706,41.67047,81.26838,
imr,EQ_DHS,PUBLISHED,2016,AFR,ZAF,,,,,,WEALTHDECILE07,23.4 [12.6-42.8],23.37313,12.63368,42.84565,
imr,EQ_DHS,PUBLISHED,2016,AFR,ZAF,,,,,,WEALTHDECILE09,58.1 [22.8-140.0],58.08789,22.83193,139.9854,
imr,EQ_MICS,PUBLISHED,2010,AFR,SSD,,,,,,WEALTHDECILE06,71.5 [60.4-84.6],71.5283,60.3637,84.572,
imr,EQ_MICS,PUBLISHED,2010,AFR,SSD,,,,,,WEALTHDECILE08,61.7 [50.2-75.8],61.74252,50.15479,75.79382,
imr,EQ_MICS,PUBLISHED,2010,EMR,SDN,,,,,,WEALTHDECILE05,71.9 [62.6-82.5],71.88164,62.56485,82.46378,
imr,EQ_MICS,PUBLISHED,2010,EMR,SDN,,,,,,WEALTHDECILE07,57.6 [49.2-67.5],57.63478,49.17145,67.45147,
imr,EQ_MICS,PUBLISHED,2014,EMR,SDN,,,,,,WEALTHDECILE04,60.5 [51.4-71.1],60.54275,51.44378,71.13039,
imr,EQ_MICS,PUBLISHED,2014,EMR,SDN,,,,,,WEALTHDECILE06,53.8 [43.2-66.9],53.80966,43.16253,66.89954,
imr,EQ_MICS,PUBLISHED,1999,AMR,SUR,,,,,,WEALTHDECILE03,No data,,,,Not available.
imr,EQ_MICS,PUBLISHED,1999,AMR,SUR,,,,,,WEALTHDECILE05,No data,,,,Not available.
imr,EQ_MICS,PUBLISHED,2006,AMR,SUR,,,,,,WEALTHDECILE02,No data,,,,Not available.
imr,EQ_MICS,PUBLISHED,2006,AMR,SUR,,,,,,WEALTHDECILE04,No data,,,,Not available.
imr,EQ_MICS,PUBLISHED,2006,AMR,SUR,,,,,,WEALTHDECILE06,No data,,,,Not available.
imr,EQ_MICS,PUBLISHED,2010,AMR,SUR,,,,,,WEALTHDECILE03,No data,,,,Not available.
imr,EQ_MICS,PUBLISHED,2010,AMR,SUR,,,,,,WEALTHDECILE05,No data,,,,Not available.
imr,EQ_MICS,PUBLISHED,2018,AMR,SUR,,,,,,WEALTHDECILE02,22.9 [12.8-40.6],22.90207,12.81844,40.59184,
imr,EQ_MICS,PUBLISHED,2018,AMR,SUR,,,,,,WEALTHDECILE04,18.1 [8.9-36.4],18.08706,8.89875,36.41408,
imr,EQ_MICS,PUBLISHED,2018,AMR,SUR,,,,,,WEALTHDECILE09,15.0 [4.7-47.1],14.98694,4.66344,47.08262,Attention - Estimate is based on 250-499 unweighted person-years of exposure to the risk of death.
imr,EQ_MICS,PUBLISHED,2006,EMR,SYR,,,,,,WEALTHDECILE10,No data,,,,Not available.
imr,EQ_MICS,PUBLISHED,2006,EMR,SYR,,,,,,WEALTHDECILE03,No data,,,,Not available.
imr,EQ_MICS,PUBLISHED,2005,EUR,TJK,,,,,,WEALTHDECILE01,No data,,,,Not available.
imr,EQ_MICS,PUBLISHED,2005,EUR,TJK,,,,,,WEALTHDECILE02,No data,,,,Not available.
