"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","RESIDENCEAREATYPE","Display Value","Numeric","Low","High","Comments"
"WSH_SANITATION_SAFELY_MANAGED","PUBLISHED","2010","WPR","AUS","TOTL","69","69.48693","","",""
"WSH_SANITATION_SAFELY_MANAGED","PUBLISHED","2011","WPR","AUS","TOTL","70","70.36592","","",""
"WSH_SANITATION_SAFELY_MANAGED","PUBLISHED","2012","WPR","AUS","TOTL","71","71.24492","","",""
"WSH_SANITATION_SAFELY_MANAGED","PUBLISHED","2005","EUR","ARM","URB","45","45.45631","","",""
"WSH_SANITATION_SAFELY_MANAGED","PUBLISHED","2006","EUR","ARM","TOTL","48","47.97270","","",""
"WSH_SANITATION_SAFELY_MANAGED","PUBLISHED","2006","EUR","ARM","URB","45","45.46284","","",""
"WSH_SANITATION_SAFELY_MANAGED","PUBLISHED","2007","EUR","ARM","TOTL","48","48.01411","","",""
"WSH_SANITATION_SAFELY_MANAGED","PUBLISHED","2014","EUR","AUT","URB","100","99.96278","","",""
"WSH_SANITATION_SAFELY_MANAGED","PUBLISHED","2003","EUR","AZE","URB","73","72.75667","","",""
"WSH_SANITATION_SAFELY_MANAGED","PUBLISHED","2004","EUR","AZE","URB","74","73.59700","","",""
"WSH_SANITATION_SAFELY_MANAGED","PUBLISHED","2005","EUR","AZE","URB","75","75.40173","","",""
"WSH_SANITATION_SAFELY_MANAGED","PUBLISHED","2006","EUR","AZE","URB","77","77.22835","","",""
