Country,cia.gov_IMR,Original_IMR,OriginalDoseNum,CalculatedDoseNum,UsedByOriginalStudy
Maldives,29.53,,,18,0
Peru,28.62,,,19,0
Guatemala,27.84,,,19,0
Algeria,27.73,,,18,0
Egypt,27.26,,,19,0
"Micronesia, Federated States of",26.1,,,18,0
Dominican Republic,25.96,,,20,0
Syria,25.87,,,20,0
Turkey,25.78,,,23,0
Kazakhstan,25.73,,,5,0
Marshall Islands,25.45,,,18,0
Nicaragua,25.02,,,22,0
Paraguay,24.68,,,19,0
Samoa,24.22,,,19,0
Honduras,24.03,,,20,0
Uzbekistan,23.43,,,20,0
"Bahamas, The",23.17,,,18,0
Belize,23.07,,,22,0
Romania,22.9,,,16,0
Brazil,22.58,,,22,0
Tunisia,22.57,,,16,0
Lebanon,21.82,,,20,0
El Salvador,21.52,,,21,0
Ecuador,20.9,,,21,0
Philippines,20.56,,,17,0
China,20.25,,,19,0
Armenia,20.21,,,17,0
Solomon Islands,19.03,,,21,0
Colombia,18.9,,,21,0
Suriname,18.81,,,18,0
Albania,18.62,,,16,0
Sri Lanka,18.57,,,17,0
Tuvalu,18.43,,,16,0
Mexico,18.42,,,22,0
Bulgaria,17.87,,,17,0
Thailand,17.63,,,18,0
Cook Islands,16.9,,,16,0
Oman,16.88,,,23,0
Antigua and Barbuda,16.25,,,18,0
Georgia,16.22,,,16,0
Malaysia,15.87,,,20,0
Bahrain,15.25,,,22,0
Jamaica,15.22,,,22,0
Saint Vincent and the Grenadines,15.14,,,22,0
Jordan,14.97,,,21,0
Saint Kitts and Nevis,13.94,,,19,0
Dominica,13.65,,,19,0
Saint Lucia,13.43,,,19,0
Grenada,13.23,,,18,0
Palau,13.14,,,24,0
Moldova,13.13,,,16,0
United Arab Emirates,12.7,,,20,0
Panama,12.67,,,25,0
Qatar,12.66,,,22,0
Botswana,12.59,,,17,0
Seychelles,12.3,,,16,0
Barbados,12.29,,,18,0
Brunei,12.27,,,19,0
Mauritius,12.2,,,16,0
Fiji,11.58,,,21,0
Tonga,11.58,,,19,0
Saudi Arabia,11.57,,,22,0
Argentina,11.44,,,19,0
Uruguay,11.32,,,19,0
Russia,10.56,,,16,0
Nauru,9.25,,,16,0
Bosnia and Herzegovina,9.1,,,21,0
Macedonia,9.01,,,19,0
