GHO,PUBLISHSTATE,YEAR,REGION,UNREGION,WORLDBANKINCOMEGROUP,COUNTRY,SEX,Display Value,Numeric,Low,High,Comments
MDG_0000000001,PUBLISHED,2018,EMR,,,AFG,BTSX,48,48.04333,39.9443,56.32006,
MDG_0000000001,PUBLISHED,2018,EMR,,,AFG,FMLE,44.6,44.55944,36.87615,52.43261,
MDG_0000000001,PUBLISHED,2018,EMR,,,AFG,MLE,51.3,51.3471,42.55961,60.39946,
MDG_0000000001,PUBLISHED,2018,AFR,,,AGO,BTSX,51.9,51.87144,28.2057,87.37608,
MDG_0000000001,PUBLISHED,2018,AFR,,,AGO,FMLE,46.3,46.32707,25.06762,78.38194,
MDG_0000000001,PUBLISHED,2018,AFR,,,AGO,MLE,57.1,57.0696,31.01264,96.27517,
MDG_0000000001,PUBLISHED,2018,EUR,,,ALB,BTSX,8.5,8.47357,8.06406,8.91675,
MDG_0000000001,PUBLISHED,2018,EUR,,,ALB,FMLE,7.6,7.5519,7.12956,7.99543,
MDG_0000000001,PUBLISHED,2018,EUR,,,ALB,MLE,9.3,9.34091,8.85025,9.88579,
MDG_0000000001,PUBLISHED,2018,EUR,,,AND,BTSX,2.9,2.94139,0.86802,10.54429,
MDG_0000000001,PUBLISHED,2018,EUR,,,AND,FMLE,2.7,2.65321,0.77755,9.44765,
MDG_0000000001,PUBLISHED,2018,EUR,,,AND,MLE,3.2,3.21493,0.95321,11.52674,
MDG_0000000001,PUBLISHED,2018,EMR,,,ARE,BTSX,6.5,6.50609,5.75564,7.35071,
MDG_0000000001,PUBLISHED,2018,EMR,,,ARE,FMLE,5.8,5.8086,5.10058,6.61171,
MDG_0000000001,PUBLISHED,2018,EMR,,,ARE,MLE,7.2,7.17295,6.31178,8.12715,
MDG_0000000001,PUBLISHED,2018,AMR,,,ARG,BTSX,8.7,8.69904,8.42064,8.98441,
MDG_0000000001,PUBLISHED,2018,AMR,,,ARG,FMLE,7.6,7.64469,7.38286,7.9206,
MDG_0000000001,PUBLISHED,2018,AMR,,,ARG,MLE,9.7,9.70133,9.37203,10.03444,
MDG_0000000001,PUBLISHED,2018,EUR,,,ARM,BTSX,11,11.03317,8.33428,14.01295,
MDG_0000000001,PUBLISHED,2018,EUR,,,ARM,FMLE,9.8,9.81974,7.39144,12.58198,
MDG_0000000001,PUBLISHED,2018,EUR,,,ARM,MLE,12.2,12.17281,9.19876,15.52734,
MDG_0000000001,PUBLISHED,2018,AMR,,,ATG,BTSX,6,6.00596,4.38593,8.19353,
MDG_0000000001,PUBLISHED,2018,AMR,,,ATG,FMLE,5.5,5.53152,4.02779,7.58261,
MDG_0000000001,PUBLISHED,2018,AMR,,,ATG,MLE,6.5,6.45845,4.70292,8.84082,
MDG_0000000001,PUBLISHED,2018,WPR,,,AUS,BTSX,3.1,3.09623,2.98428,3.21056,
MDG_0000000001,PUBLISHED,2018,WPR,,,AUS,FMLE,2.8,2.81325,2.69821,2.93585,
MDG_0000000001,PUBLISHED,2018,WPR,,,AUS,MLE,3.4,3.36411,3.22823,3.50395,
MDG_0000000001,PUBLISHED,2018,EUR,,,AUT,BTSX,2.9,2.89865,2.615,3.22318,
MDG_0000000001,PUBLISHED,2018,EUR,,,AUT,FMLE,2.6,2.62519,2.35278,2.93353,
MDG_0000000001,PUBLISHED,2018,EUR,,,AUT,MLE,3.2,3.15916,2.84261,3.52686,
MDG_0000000001,PUBLISHED,2018,EUR,,,AZE,BTSX,19.3,19.256,12.91303,28.37405,
MDG_0000000001,PUBLISHED,2018,EUR,,,AZE,FMLE,17.2,17.24358,11.52891,25.48557,
MDG_0000000001,PUBLISHED,2018,EUR,,,AZE,MLE,21.2,21.18196,14.15017,31.13728,
MDG_0000000001,PUBLISHED,2018,AFR,,,BDI,BTSX,41.2,41.16823,30.18212,56.08432,
MDG_0000000001,PUBLISHED,2018,AFR,,,BDI,FMLE,36.6,36.63784,26.90861,49.98758,
MDG_0000000001,PUBLISHED,2018,AFR,,,BDI,MLE,45.5,45.51175,33.35869,61.9407,
MDG_0000000001,PUBLISHED,2018,EUR,,,BEL,BTSX,2.8,2.83577,2.52763,3.17245,
MDG_0000000001,PUBLISHED,2018,EUR,,,BEL,FMLE,2.5,2.47547,2.19388,2.78206,
MDG_0000000001,PUBLISHED,2018,EUR,,,BEL,MLE,3.2,3.17583,2.82492,3.56032,
MDG_0000000001,PUBLISHED,2018,AFR,,,BEN,BTSX,60.4,60.41472,53.87679,67.61565,
MDG_0000000001,PUBLISHED,2018,AFR,,,BEN,FMLE,54.5,54.5091,48.42217,61.33075,
MDG_0000000001,PUBLISHED,2018,AFR,,,BEN,MLE,65.9,65.92552,58.76438,73.96354,
MDG_0000000001,PUBLISHED,2018,AFR,,,BFA,BTSX,55.3,55.29669,45.21227,67.96943,
MDG_0000000001,PUBLISHED,2018,AFR,,,BFA,FMLE,50.2,50.20821,40.976,61.87483,
MDG_0000000001,PUBLISHED,2018,AFR,,,BFA,MLE,60.1,60.08172,49.08065,73.98757,
MDG_0000000001,PUBLISHED,2018,SEAR,,,BGD,BTSX,26.7,26.73542,24.84172,28.79034,
MDG_0000000001,PUBLISHED,2018,SEAR,,,BGD,FMLE,24.9,24.88613,22.98984,26.88026,
MDG_0000000001,PUBLISHED,2018,SEAR,,,BGD,MLE,28.5,28.50414,26.39078,30.78288,
MDG_0000000001,PUBLISHED,2018,EUR,,,BGR,BTSX,5.9,5.88738,5.62987,6.14625,
MDG_0000000001,PUBLISHED,2018,EUR,,,BGR,FMLE,5.3,5.27093,5.00308,5.54307,
MDG_0000000001,PUBLISHED,2018,EUR,,,BGR,MLE,6.5,6.47494,6.1647,6.78978,
MDG_0000000001,PUBLISHED,2018,EMR,,,BHR,BTSX,6.1,6.06494,4.95921,7.43714,
MDG_0000000001,PUBLISHED,2018,EMR,,,BHR,FMLE,5.9,5.86762,4.77873,7.24839,
MDG_0000000001,PUBLISHED,2018,EMR,,,BHR,MLE,6.2,6.24341,5.09376,7.68493,
MDG_0000000001,PUBLISHED,2018,AMR,,,BHS,BTSX,11.1,11.14657,8.99134,13.74161,
MDG_0000000001,PUBLISHED,2018,AMR,,,BHS,FMLE,10.3,10.33281,8.31658,12.80041,
MDG_0000000001,PUBLISHED,2018,AMR,,,BHS,MLE,11.9,11.90336,9.58582,14.73696,
MDG_0000000001,PUBLISHED,2018,EUR,,,BIH,BTSX,5.2,5.16953,4.52336,5.90277,
MDG_0000000001,PUBLISHED,2018,EUR,,,BIH,FMLE,4.7,4.66831,4.06472,5.3498,
MDG_0000000001,PUBLISHED,2018,EUR,,,BIH,MLE,5.6,5.64212,4.92567,6.44856,
MDG_0000000001,PUBLISHED,2018,EUR,,,BLR,BTSX,2.6,2.56544,2.40242,2.74371,
MDG_0000000001,PUBLISHED,2018,EUR,,,BLR,FMLE,2.3,2.25611,2.10456,2.43034,
MDG_0000000001,PUBLISHED,2018,EUR,,,BLR,MLE,2.9,2.85906,2.66948,3.06581,
MDG_0000000001,PUBLISHED,2018,AMR,,,BLZ,BTSX,11.2,11.18565,9.93316,12.57101,
MDG_0000000001,PUBLISHED,2018,AMR,,,BLZ,FMLE,10.1,10.06363,8.88675,11.38249,
MDG_0000000001,PUBLISHED,2018,AMR,,,BLZ,MLE,12.2,12.24847,10.84598,13.83934,
MDG_0000000001,PUBLISHED,2018,AMR,,,BOL,BTSX,22,21.99731,17.19126,27.8035,
MDG_0000000001,PUBLISHED,2018,AMR,,,BOL,FMLE,19.6,19.60684,15.29921,24.82021,
MDG_0000000001,PUBLISHED,2018,AMR,,,BOL,MLE,24.3,24.27751,18.9342,30.7198,
MDG_0000000001,PUBLISHED,2018,AMR,,,BRA,BTSX,12.8,12.82689,11.16472,14.69069,
MDG_0000000001,PUBLISHED,2018,AMR,,,BRA,FMLE,11.2,11.24976,9.68386,13.00818,
MDG_0000000001,PUBLISHED,2018,AMR,,,BRA,MLE,14.3,14.32334,12.40505,16.48805,
MDG_0000000001,PUBLISHED,2018,AMR,,,BRB,BTSX,12.1,12.08193,8.90852,16.28554,
MDG_0000000001,PUBLISHED,2018,AMR,,,BRB,FMLE,10.9,10.94412,8.03997,14.77716,
MDG_0000000001,PUBLISHED,2018,AMR,,,BRB,MLE,13.1,13.13094,9.69728,17.73294,
MDG_0000000001,PUBLISHED,2018,WPR,,,BRN,BTSX,9.4,9.38105,8.51688,10.34551,
MDG_0000000001,PUBLISHED,2018,WPR,,,BRN,FMLE,8.4,8.43849,7.60888,9.37284,
MDG_0000000001,PUBLISHED,2018,WPR,,,BRN,MLE,10.3,10.28083,9.28374,11.37926,
MDG_0000000001,PUBLISHED,2018,SEAR,,,BTN,BTSX,24.7,24.6964,16.60013,34.89342,
MDG_0000000001,PUBLISHED,2018,SEAR,,,BTN,FMLE,22.3,22.26029,14.97252,31.71157,
MDG_0000000001,PUBLISHED,2018,SEAR,,,BTN,MLE,26.9,26.91943,18.10082,38.19715,
MDG_0000000001,PUBLISHED,2018,AFR,,,BWA,BTSX,32.3,32.30305,13.06365,59.2153,
MDG_0000000001,PUBLISHED,2018,AFR,,,BWA,FMLE,29.2,29.16302,11.79857,53.48909,
MDG_0000000001,PUBLISHED,2018,AFR,,,BWA,MLE,35.3,35.34756,14.34294,65.02703,
MDG_0000000001,PUBLISHED,2018,AFR,,,CAF,BTSX,83.4,83.4412,55.31028,120.86584,
