"GHO","PUBLISHSTATE","YEAR","REGION","WORLDBANKINCOMEGROUP","COUNTRY","Display Value","Numeric","Low","High","Comments"
"WSH_2","PUBLISHED","2004","SEAR","","BGD","58639","58638.54000","","",""
"WSH_2","PUBLISHED","2004","AMR","","BRB","0","0.00000","","",""
"WSH_2","PUBLISHED","2004","EUR","","BLR","4","3.96000","","",""
"WSH_2","PUBLISHED","2004","EUR","","BEL","1","0.98000","","",""
"WSH_2","PUBLISHED","2004","AMR","","CAN","2","2.36000","","",""
"WSH_2","PUBLISHED","2004","AFR","","CPV","57","57.45000","","",""
"WSH_2","PUBLISHED","2004","AFR","","CAF","3273","3273.05000","","",""
"WSH_2","PUBLISHED","2004","AFR","","TCD","11123","11123.27000","","",""
"WSH_2","PUBLISHED","2004","AFR","WB_LI","COD","86843","86842.59000","","",""
"WSH_2","PUBLISHED","2004","EUR","","DNK","3","2.59000","","",""
"WSH_2","PUBLISHED","2004","EMR","","DJI","484","484.43000","","",""
"WSH_2","PUBLISHED","2004","AMR","","DMA","0","0.00000","","",""
"WSH_2","PUBLISHED","2004","EUR","","DEU","7","6.79000","","",""
"WSH_2","PUBLISHED","2004","AFR","","GHA","7077","7077.40000","","",""
"WSH_2","PUBLISHED","2004","AMR","","GRD","1","0.50000","","",""
"WSH_2","PUBLISHED","2004","AMR","","GTM","2532","2531.96000","","",""
"WSH_2","PUBLISHED","2004","EMR","","JOR","416","416.00000","","",""
"WSH_2","PUBLISHED","2004","EUR","","KAZ","2872","2872.10000","","",""
"WSH_2","PUBLISHED","2004","AFR","","KEN","20841","20841.49000","","",""
"WSH_2","PUBLISHED","2004","SEAR","","TLS","244","243.64000","","",""
"WSH_2","PUBLISHED","2004","AFR","","TGO","3773","3772.70000","","",""
"WSH_2","PUBLISHED","2004","WPR","","TON","8","7.58000","","",""
"WSH_2","PUBLISHED","2004","AMR","","TTO","5","4.61000","","",""
"WSH_2","PUBLISHED","2004","WPR","","VNM","4905","4904.88000","","",""
"WSH_2","PUBLISHED","2004","EMR","","YEM","12890","12889.70000","","",""
"WSH_2","PUBLISHED","2004","AFR","","ZMB","10541","10540.90000","","",""
"WSH_2","PUBLISHED","2004","AFR","","ZWE","4371","4370.82000","","",""
"WSH_3","PUBLISHED","2004","AMR","","BRB","1","0.57000","","",""
"WSH_3","PUBLISHED","2004","EUR","","BLR","0","0.16000","","",""
"WSH_3","PUBLISHED","2004","EUR","","BEL","0","0.51000","","",""
"WSH_3","PUBLISHED","2004","AMR","","BLZ","5","5.39000","","",""
"WSH_3","PUBLISHED","2004","AFR","","CPV","25","25.41000","","",""
"WSH_3","PUBLISHED","2004","AFR","","CAF","108","107.55000","","",""
"WSH_3","PUBLISHED","2004","AFR","","TCD","147","147.43000","","",""
"WSH_3","PUBLISHED","2004","AMR","","CHL","1","1.26000","","",""
"WSH_3","PUBLISHED","2004","WPR","","CHN","4","4.19000","","",""
"WSH_3","PUBLISHED","2004","EUR","","KGZ","24","24.21000","","",""
"WSH_3","PUBLISHED","2004","WPR","","LAO","40","40.00000","","",""
"WSH_3","PUBLISHED","2004","AFR","","MUS","1","1.03000","","",""
"WSH_3","PUBLISHED","2004","AMR","","MEX","4","4.36000","","",""
"WSH_3","PUBLISHED","2004","WPR","","FSM","14","13.83000","","",""
"WSH_3","PUBLISHED","2004","EUR","","MCO","1","0.81000","","",""
"WSH_3","PUBLISHED","2004","WPR","","KIR","25","25.35000","","",""
"WSH_3","PUBLISHED","2004","AFR","","KEN","68","67.80000","","",""
"WSH_3","PUBLISHED","2004","AFR","","GIN","106","106.28000","","",""
"WSH_3","PUBLISHED","2004","AMR","","GTM","32","31.65000","","",""
"WSH_3","PUBLISHED","2004","AMR","","GRD","4","4.31000","","",""
"WSH_3","PUBLISHED","2004","AFR","","GHA","95","94.75000","","",""
"WSH_3","PUBLISHED","2004","AMR","","DOM","13","13.42000","","",""
"WSH_3","PUBLISHED","2004","AMR","","DMA","0","0.00000","","",""
"WSH_3","PUBLISHED","2004","EMR","","DJI","68","68.06000","","",""
"WSH_3","PUBLISHED","2004","EUR","","DNK","1","0.73000","","",""
"WSH_2","PUBLISHED","2004","WPR","","SLB","58","58.21000","","",""
"WSH_2","PUBLISHED","2004","EUR","","SVK","1","1.07000","","",""
"WSH_2","PUBLISHED","2004","WPR","","SGP","1","0.58000","","",""
"WSH_2","PUBLISHED","2004","AFR","","SLE","12449","12449.49000","","",""
"WSH_3","PUBLISHED","2004","AFR","","ZMB","111","111.05000","","",""
"WSH_3","PUBLISHED","2004","AFR","","ZWE","53","53.38000","","",""
"WSH_2","PUBLISHED","2004","WPR","","PNG","2615","2615.14000","","",""
"WSH_2","PUBLISHED","2004","AMR","","PAN","188","187.63000","","",""
"WSH_2","PUBLISHED","2004","WPR","","PLW","1","0.88000","","",""
"WSH_2","PUBLISHED","2004","EMR","","PAK","46137","46136.99000","","",""
"WSH_2","PUBLISHED","2004","WPR","","FSM","12","11.83000","","",""
"WSH_2","PUBLISHED","2004","AMR","","MEX","2439","2438.97000","","",""
"WSH_2","PUBLISHED","2004","AFR","","MUS","6","6.46000","","",""
"WSH_2","PUBLISHED","2004","AFR","","MRT","1738","1737.86000","","",""
"WSH_2","PUBLISHED","2004","EUR","","KGZ","1238","1238.28000","","",""
"WSH_2","PUBLISHED","2004","WPR","","KIR","20","20.24000","","",""
"WSH_3","PUBLISHED","2004","WPR","","PLW","5","4.85000","","",""
"WSH_3","PUBLISHED","2004","AMR","","PAN","8","7.77000","","",""
"WSH_3","PUBLISHED","2004","WPR","","PNG","48","47.47000","","",""
"WSH_3","PUBLISHED","2004","AMR","","PRY","9","9.39000","","",""
"WSH_3","PUBLISHED","2004","WPR","","SGP","0","0.28000","","",""
"WSH_3","PUBLISHED","2004","EUR","","SVK","0","0.09000","","",""
"WSH_3","PUBLISHED","2004","WPR","","SLB","16","15.99000","","",""
"WSH_3","PUBLISHED","2004","EMR","","SOM","207","206.87000","","",""
"WSH_3","PUBLISHED","2004","AFR","","TGO","82","81.93000","","",""
"WSH_3","PUBLISHED","2004","WPR","","TON","8","8.25000","","",""
"WSH_3","PUBLISHED","2004","AMR","","TTO","2","1.96000","","",""
"WSH_3","PUBLISHED","2004","EMR","","TUN","8","8.34000","","",""
"WSH_3","PUBLISHED","2004","EUR","","TUR","9","9.31000","","",""
"WSH_3","PUBLISHED","2004","EMR","","YEM","72","71.88000","","",""
"WSH_2","PUBLISHED","2004","EUR","","AND","0","0.00000","","",""
"WSH_2","PUBLISHED","2004","AFR","","AGO","37920","37920.11000","","",""
"WSH_2","PUBLISHED","2004","AMR","","ATG","0","0.00000","","",""
"WSH_2","PUBLISHED","2004","AMR","","ARG","104","103.88000","","",""
"WSH_2","PUBLISHED","2004","EUR","","BIH","3","3.08000","","",""
"WSH_2","PUBLISHED","2004","AFR","","BWA","729","729.18000","","",""
"WSH_2","PUBLISHED","2004","AMR","","BRA","21570","21569.81000","","",""
"WSH_2","PUBLISHED","2004","EUR","","BGR","8","7.81000","","",""
"WSH_2","PUBLISHED","2004","WPR","","COK","1","0.57000","","",""
"WSH_2","PUBLISHED","2004","AMR","","CRI","16","15.81000","","",""
"WSH_2","PUBLISHED","2004","AFR","","CIV","16533","16532.78000","","",""
"WSH_2","PUBLISHED","2004","EUR","","HRV","0","0.00000","","",""
"WSH_2","PUBLISHED","2004","AFR","","GNQ","480","479.78000","","",""
"WSH_2","PUBLISHED","2004","AFR","","ERI","2673","2672.76000","","",""
"WSH_2","PUBLISHED","2004","EUR","","EST","0","0.00000","","",""
"WSH_2","PUBLISHED","2004","AFR","","ETH","87323","87322.62000","","",""
"WSH_2","PUBLISHED","2004","WPR","","FJI","10","10.18000","","",""
"WSH_2","PUBLISHED","2004","AMR","","HND","1004","1003.72000","","",""
"WSH_2","PUBLISHED","2004","EUR","","HUN","2","1.73000","","",""
"WSH_2","PUBLISHED","2004","EUR","","ISL","0","0.00000","","",""
"WSH_2","PUBLISHED","2004","SEAR","","IND","403518","403517.77000","","",""
"WSH_2","PUBLISHED","2004","AFR","","LBR","4831","4831.10000","","",""
"WSH_2","PUBLISHED","2004","EUR","","LUX","0","0.45000","","",""
"WSH_2","PUBLISHED","2004","AFR","","MDG","15631","15631.13000","","",""
"WSH_2","PUBLISHED","2004","AFR","","MWI","14964","14963.99000","","",""
"WSH_2","PUBLISHED","2004","SEAR","","MMR","17337","17337.26000","","",""
"WSH_2","PUBLISHED","2004","AFR","","NAM","56","55.51000","","",""
"WSH_2","PUBLISHED","2004","SEAR","","NPL","12356","12356.03000","","",""
"WSH_2","PUBLISHED","2004","EUR","","NLD","1","0.65000","","",""
"WSH_2","PUBLISHED","2004","AMR","","NIC","689","688.80000","","",""
"WSH_2","PUBLISHED","2004","EUR","","MDA","30","30.02000","","",""
"WSH_2","PUBLISHED","2004","EUR","","RUS","320","319.65000","","",""
"WSH_2","PUBLISHED","2004","AFR","","RWA","14354","14353.66000","","",""
"WSH_2","PUBLISHED","2004","AMR","","KNA","1","1.29000","","",""
"WSH_2","PUBLISHED","2004","EMR","","SDN","14499","14498.72000","","",""
"WSH_2","PUBLISHED","2004","AMR","","SUR","23","22.74000","","",""
"WSH_2","PUBLISHED","2004","AFR","","SWZ","398","398.34000","","",""
"WSH_2","PUBLISHED","2004","EUR","","SWE","0","0.00000","","",""
"WSH_2","PUBLISHED","2004","EUR","","UKR","51","51.38000","","",""
"WSH_2","PUBLISHED","2004","EMR","","ARE","29","28.90000","","",""
"WSH_2","PUBLISHED","2004","AFR","","TZA","21499","21499.15000","","",""
"WSH_2","PUBLISHED","2004","AMR","","USA","18","18.10000","","",""
"WSH_3","PUBLISHED","2004","AFR","","AGO","298","298.22000","","",""
"WSH_3","PUBLISHED","2004","AMR","","ATG","1","0.77000","","",""
"WSH_3","PUBLISHED","2004","AMR","","ARG","1","0.84000","","",""
"WSH_3","PUBLISHED","2004","EUR","","ARM","5","4.56000","","",""
"WSH_3","PUBLISHED","2004","WPR","","AUS","0","0.12000","","",""
"WSH_3","PUBLISHED","2004","AFR","","BWA","50","49.58000","","",""
"WSH_3","PUBLISHED","2004","AMR","","BRA","14","13.65000","","",""
"WSH_3","PUBLISHED","2004","EUR","","BGR","0","0.14000","","",""
"WSH_3","PUBLISHED","2004","AFR","","BFA","180","179.80000","","",""
"WSH_3","PUBLISHED","2004","AMR","","CRI","2","2.46000","","",""
"WSH_3","PUBLISHED","2004","AFR","","CIV","118","117.55000","","",""
"WSH_3","PUBLISHED","2004","EUR","","HRV","0","0.20000","","",""
"WSH_3","PUBLISHED","2004","AMR","","CUB","2","1.82000","","",""
"WSH_3","PUBLISHED","2004","AFR","","ERI","75","74.92000","","",""
"WSH_3","PUBLISHED","2004","EUR","","EST","0","0.00000","","",""
"WSH_3","PUBLISHED","2004","AFR","","ETH","154","154.04000","","",""
"WSH_3","PUBLISHED","2004","WPR","","FJI","5","5.16000","","",""
"WSH_3","PUBLISHED","2004","EUR","","FIN","0","0.22000","","",""
"WSH_3","PUBLISHED","2004","EUR","","HUN","0","0.03000","","",""
"WSH_3","PUBLISHED","2004","EUR","","ISL","0","0.21000","","",""
"WSH_3","PUBLISHED","2004","SEAR","","IND","41","40.81000","","",""
"WSH_3","PUBLISHED","2004","SEAR","","IDN","15","14.63000","","",""
"WSH_3","PUBLISHED","2004","EUR","","LUX","1","0.56000","","",""
"WSH_3","PUBLISHED","2004","AFR","","MDG","119","119.12000","","",""
"WSH_3","PUBLISHED","2004","AFR","","MWI","137","136.70000","","",""
"WSH_3","PUBLISHED","2004","WPR","","MYS","4","3.72000","","",""
"WSH_3","PUBLISHED","2004","SEAR","","NPL","52","52.01000","","",""
"WSH_3","PUBLISHED","2004","EUR","","NLD","0","0.39000","","",""
"WSH_3","PUBLISHED","2004","AMR","","NIC","16","16.13000","","",""
"WSH_3","PUBLISHED","2004","AFR","","NER","319","318.61000","","",""
"WSH_3","PUBLISHED","2004","EUR","","RUS","0","0.50000","","",""
"WSH_3","PUBLISHED","2004","AFR","","RWA","190","189.56000","","",""
"WSH_3","PUBLISHED","2004","AMR","","KNA","8","7.87000","","",""
"WSH_3","PUBLISHED","2004","AMR","","LCA","1","0.81000","","",""
"WSH_3","PUBLISHED","2004","AMR","","SUR","13","13.36000","","",""
"WSH_3","PUBLISHED","2004","AFR","","SWZ","48","47.95000","","",""
"WSH_3","PUBLISHED","2004","EUR","","SWE","1","0.59000","","",""
"WSH_3","PUBLISHED","2004","EUR","","CHE","0","0.33000","","",""
"WSH_3","PUBLISHED","2004","EMR","","ARE","1","0.77000","","",""
"WSH_3","PUBLISHED","2004","AFR","","TZA","86","86.08000","","",""
"WSH_3","PUBLISHED","2004","AMR","","USA","1","0.92000","","",""
"WSH_3","PUBLISHED","2004","AMR","","URY","2","1.47000","","",""
"WSH_2","PUBLISHED","2004","EUR","","ALB","116","116.46000","","",""
"WSH_2","PUBLISHED","2004","WPR","","AUS","0","0.00000","","",""
"WSH_2","PUBLISHED","2004","EUR","","AZE","1771","1771.36000","","",""
"WSH_2","PUBLISHED","2004","AFR","","BEN","6716","6716.05000","","",""
"WSH_2","PUBLISHED","2004","AMR","","BOL","3019","3019.13000","","",""
"WSH_2","PUBLISHED","2004","AFR","","BFA","18985","18985.45000","","",""
"WSH_2","PUBLISHED","2004","WPR","","KHM","9454","9453.78000","","",""
"WSH_2","PUBLISHED","2004","WPR","","CHN","49195","49195.15000","","",""
"WSH_2","PUBLISHED","2004","AFR","","COM","155","154.88000","","",""
"WSH_2","PUBLISHED","2004","EUR","","CYP","7","6.57000","","",""
"WSH_2","PUBLISHED","2004","SEAR","","PRK","4171","4171.02000","","",""
"WSH_2","PUBLISHED","2004","AMR","","DOM","777","777.13000","","",""
"WSH_2","PUBLISHED","2004","EMR","","EGY","7727","7727.04000","","",""
"WSH_2","PUBLISHED","2004","EUR","","FIN","0","0.00000","","",""
"WSH_2","PUBLISHED","2004","AFR","","GMB","709","708.74000","","",""
"WSH_2","PUBLISHED","2004","AFR","","GNB","2132","2131.79000","","",""
"WSH_2","PUBLISHED","2004","AMR","","HTI","5286","5286.06000","","",""
"WSH_2","PUBLISHED","2004","SEAR","","IDN","27410","27410.07000","","",""
"WSH_2","PUBLISHED","2004","AMR","","JAM","125","125.11000","","",""
"WSH_2","PUBLISHED","2004","EMR","","SYR","1357","1356.80000","","",""
"WSH_2","PUBLISHED","2004","SEAR","","THA","2839","2839.03000","","",""
"WSH_2","PUBLISHED","2004","EMR","","TUN","495","494.54000","","",""
"WSH_2","PUBLISHED","2004","EUR","","TKM","2273","2273.46000","","",""
"WSH_2","PUBLISHED","2004","AFR","","UGA","23309","23308.74000","","",""
"WSH_2","PUBLISHED","2004","AMR","","URY","7","7.50000","","",""
"WSH_2","PUBLISHED","2004","WPR","","VUT","13","12.57000","","",""
"WSH_3","PUBLISHED","2004","EUR","","ALB","4","4.31000","","",""
"WSH_3","PUBLISHED","2004","EUR","","AND","0","0.54000","","",""
"WSH_3","PUBLISHED","2004","EUR","","AZE","22","21.80000","","",""
"WSH_3","PUBLISHED","2004","SEAR","","BGD","43","43.10000","","",""
"WSH_3","PUBLISHED","2004","AFR","","BEN","123","123.03000","","",""
"WSH_3","PUBLISHED","2004","AMR","","BOL","38","37.64000","","",""
"WSH_3","PUBLISHED","2004","WPR","","KHM","80","79.72000","","",""
"WSH_3","PUBLISHED","2004","AMR","","CAN","1","1.09000","","",""
"WSH_3","PUBLISHED","2004","AFR","","COM","50","49.64000","","",""
"WSH_3","PUBLISHED","2004","WPR","","COK","3","3.42000","","",""
"WSH_3","PUBLISHED","2004","EMR","","LBN","4","3.94000","","",""
"WSH_3","PUBLISHED","2004","AFR","","LBR","203","203.43000","","",""
"WSH_3","PUBLISHED","2004","SEAR","","MDV","16","16.08000","","",""
"WSH_3","PUBLISHED","2004","WPR","","MHL","24","23.76000","","",""
"WSH_3","PUBLISHED","2004","EMR","","JOR","8","8.20000","","",""
"WSH_3","PUBLISHED","2004","AMR","","JAM","8","8.12000","","",""
"WSH_3","PUBLISHED","2004","AMR","","HTI","62","61.74000","","",""
"WSH_3","PUBLISHED","2004","AFR","","GNB","192","192.41000","","",""
"WSH_3","PUBLISHED","2004","EUR","","DEU","1","0.67000","","",""
"WSH_3","PUBLISHED","2004","AFR","","GMB","72","71.74000","","",""
"WSH_3","PUBLISHED","2004","AFR","","GNQ","113","113.13000","","",""
"WSH_3","PUBLISHED","2004","EMR","","EGY","13","13.24000","","",""
"WSH_3","PUBLISHED","2004","SEAR","","PRK","19","19.27000","","",""
"WSH_3","PUBLISHED","2004","EUR","","CYP","1","0.82000","","",""
"WSH_2","PUBLISHED","2004","EUR","","ESP","2","1.77000","","",""
"WSH_2","PUBLISHED","2004","EMR","","SOM","13246","13245.73000","","",""
"WSH_2","PUBLISHED","2004","AFR","","STP","98","98.16000","","",""
"WSH_2","PUBLISHED","2004","AMR","","LCA","0","0.24000","","",""
"WSH_2","PUBLISHED","2004","EMR","","QAT","3","3.24000","","",""
"WSH_2","PUBLISHED","2004","AMR","","PER","2057","2057.08000","","",""
"WSH_2","PUBLISHED","2004","WPR","","NIU","0","0.00000","","",""
"WSH_2","PUBLISHED","2004","AFR","","NER","31324","31324.11000","","",""
"WSH_2","PUBLISHED","2004","EMR","","MAR","3386","3386.09000","","",""
"WSH_2","PUBLISHED","2004","EUR","","MCO","0","0.04000","","",""
"WSH_2","PUBLISHED","2004","WPR","","MHL","12","12.18000","","",""
"WSH_2","PUBLISHED","2004","SEAR","","MDV","45","44.95000","","",""
"WSH_2","PUBLISHED","2004","EMR","","LBN","139","138.89000","","",""
"WSH_2","PUBLISHED","2004","WPR","","LAO","1870","1870.35000","","",""
"WSH_3","PUBLISHED","2004","EMR","","MAR","14","14.09000","","",""
"WSH_3","PUBLISHED","2004","SEAR","","MMR","41","41.37000","","",""
"WSH_3","PUBLISHED","2004","WPR","","NIU","0","0.00000","","",""
"WSH_3","PUBLISHED","2004","EMR","","PAK","36","36.49000","","",""
"WSH_3","PUBLISHED","2004","AMR","","PER","9","9.19000","","",""
"WSH_3","PUBLISHED","2004","EMR","","QAT","0","0.45000","","",""
"WSH_3","PUBLISHED","2004","AFR","","STP","68","68.53000","","",""
"WSH_3","PUBLISHED","2004","EUR","","ESP","0","0.55000","","",""
"WSH_3","PUBLISHED","2004","EMR","","SDN","47","47.16000","","",""
"WSH_3","PUBLISHED","2004","EMR","","SYR","8","8.50000","","",""
"WSH_3","PUBLISHED","2004","SEAR","","THA","12","12.32000","","",""
"WSH_3","PUBLISHED","2004","EUR","","TKM","52","52.11000","","",""
"WSH_3","PUBLISHED","2004","AFR","","UGA","98","97.87000","","",""
"WSH_3","PUBLISHED","2004","WPR","","VUT","8","7.47000","","",""
"WSH_3","PUBLISHED","2004","WPR","","VNM","7","7.15000","","",""
"WSH_2","PUBLISHED","2004","EMR","","AFG","62200","62199.95000","","",""
"WSH_2","PUBLISHED","2004","AFR","","DZA","3139","3138.58000","","",""
"WSH_2","PUBLISHED","2004","EUR","","ARM","132","132.13000","","",""
"WSH_2","PUBLISHED","2004","EUR","","AUT","0","0.00000","","",""
"WSH_2","PUBLISHED","2004","AMR","","BHS","0","0.46000","","",""
"WSH_2","PUBLISHED","2004","AMR","","BLZ","10","9.61000","","",""
"WSH_2","PUBLISHED","2004","SEAR","","BTN","237","236.77000","","",""
