DATAFLOW,REF_AREA:Geographic area,INDICATOR:Indicator,SEX:Sex,TIME_PERIOD:Time period,OBS_VALUE:Observation Value,UNIT_MULTIPLIER:Unit multiplier,UNIT_MEASURE:Unit of measure,OBS_STATUS:Observation Status,OBS_CONF:Observation confidentaility,LOWER_BOUND:Lower Bound,UPPER_BOUND:Upper Bound,WGTD_SAMPL_SIZE:Weighted Sample Size,OBS_FOOTNOTE:Observation footnote,SERIES_FOOTNOTE:Series footnote,DATA_SOURCE:Data Source,SOURCE_LINK:Citation of or link to the data source,CUSTODIAN:Custodian,TIME_PERIOD_METHOD:Time period activity related to when the data are collected,REF_PERIOD:Reference Period,COVERAGE_TIME:The period of time for which data are provided,AGE:Current age
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,MYS: Malaysia,DM_FRATE_TOT: Total fertility rate,_T: Total,2018,2.001,0: Units,PCNT: %,,,,,,,,UNPD2019,,,,,,
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,MDV: Maldives,DM_FRATE_TOT: Total fertility rate,_T: Total,2018,1.87,0: Units,PCNT: %,,,,,,,,UNPD2019,,,,,,
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,MLI: Mali,DM_FRATE_TOT: Total fertility rate,_T: Total,2018,5.877,0: Units,PCNT: %,,,,,,,,UNPD2019,,,,,,
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,MLT: Malta,DM_FRATE_TOT: Total fertility rate,_T: Total,2018,1.455,0: Units,PCNT: %,,,,,,,,UNPD2019,,,,,,
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,MHL: Marshall Islands,DM_FRATE_TOT: Total fertility rate,_T: Total,2018,,0: Units,PCNT: %,,,,,,,,UNPD2019,,,,,,
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,MRT: Mauritania,DM_FRATE_TOT: Total fertility rate,_T: Total,2018,4.561,0: Units,PCNT: %,,,,,,,,UNPD2019,,,,,,
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,MUS: Mauritius,DM_FRATE_TOT: Total fertility rate,_T: Total,2018,1.379,0: Units,PCNT: %,,,,,,,,UNPD2019,,,,,,
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,MEX: Mexico,DM_FRATE_TOT: Total fertility rate,_T: Total,2018,2.129,0: Units,PCNT: %,,,,,,,,UNPD2019,,,,,,
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,FSM: Micronesia (Federated States of),DM_FRATE_TOT: Total fertility rate,_T: Total,2018,3.053,0: Units,PCNT: %,,,,,,,,UNPD2019,,,,,,
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,MCO: Monaco,DM_FRATE_TOT: Total fertility rate,_T: Total,2018,,0: Units,PCNT: %,,,,,,,,UNPD2019,,,,,,
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,MNG: Mongolia,DM_FRATE_TOT: Total fertility rate,_T: Total,2018,2.895,0: Units,PCNT: %,,,,,,,,UNPD2019,,,,,,
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,MNE: Montenegro,DM_FRATE_TOT: Total fertility rate,_T: Total,2018,1.745,0: Units,PCNT: %,,,,,,,,UNPD2019,,,,,,
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,MSR: Montserrat,DM_FRATE_TOT: Total fertility rate,_T: Total,2018,,0: Units,PCNT: %,,,,,,,,UNPD2019,,,,,,
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,MAR: Morocco,DM_FRATE_TOT: Total fertility rate,_T: Total,2018,2.415,0: Units,PCNT: %,,,,,,,,UNPD2019,,,,,,
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,MOZ: Mozambique,DM_FRATE_TOT: Total fertility rate,_T: Total,2018,4.852,0: Units,PCNT: %,,,,,,,,UNPD2019,,,,,,
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,MMR: Myanmar,DM_FRATE_TOT: Total fertility rate,_T: Total,2018,2.154,0: Units,PCNT: %,,,,,,,,UNPD2019,,,,,,
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,NAM: Namibia,DM_FRATE_TOT: Total fertility rate,_T: Total,2018,3.396,0: Units,PCNT: %,,,,,,,,UNPD2019,,,,,,
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,NRU: Nauru,DM_FRATE_TOT: Total fertility rate,_T: Total,2018,,0: Units,PCNT: %,,,,,,,,UNPD2019,,,,,,
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,NPL: Nepal,DM_FRATE_TOT: Total fertility rate,_T: Total,2018,1.917,0: Units,PCNT: %,,,,,,,,UNPD2019,,,,,,
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,NLD: Netherlands,DM_FRATE_TOT: Total fertility rate,_T: Total,2018,1.664,0: Units,PCNT: %,,,,,,,,UNPD2019,,,,,,
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,NZL: New Zealand,DM_FRATE_TOT: Total fertility rate,_T: Total,2018,1.895,0: Units,PCNT: %,,,,,,,,UNPD2019,,,,,,
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,NIC: Nicaragua,DM_FRATE_TOT: Total fertility rate,_T: Total,2018,2.404,0: Units,PCNT: %,,,,,,,,UNPD2019,,,,,,
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,NER: Niger,DM_FRATE_TOT: Total fertility rate,_T: Total,2018,6.913,0: Units,PCNT: %,,,,,,,,UNPD2019,,,,,,
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,NGA: Nigeria,DM_FRATE_TOT: Total fertility rate,_T: Total,2018,5.387,0: Units,PCNT: %,,,,,,,,UNPD2019,,,,,,
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,NIU: Niue,DM_FRATE_TOT: Total fertility rate,_T: Total,2018,,0: Units,PCNT: %,,,,,,,,UNPD2019,,,,,,
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,MKD: North Macedonia,DM_FRATE_TOT: Total fertility rate,_T: Total,2018,1.496,0: Units,PCNT: %,,,,,,,,UNPD2019,,,,,,
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,NOR: Norway,DM_FRATE_TOT: Total fertility rate,_T: Total,2018,1.684,0: Units,PCNT: %,,,,,,,,UNPD2019,,,,,,
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,OMN: Oman,DM_FRATE_TOT: Total fertility rate,_T: Total,2018,2.888,0: Units,PCNT: %,,,,,,,,UNPD2019,,,,,,
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,PAK: Pakistan,DM_FRATE_TOT: Total fertility rate,_T: Total,2018,3.51,0: Units,PCNT: %,,,,,,,,UNPD2019,,,,,,
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,PLW: Palau,DM_FRATE_TOT: Total fertility rate,_T: Total,2018,,0: Units,PCNT: %,,,,,,,,UNPD2019,,,,,,
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,PAN: Panama,DM_FRATE_TOT: Total fertility rate,_T: Total,2018,2.461,0: Units,PCNT: %,,,,,,,,UNPD2019,,,,,,
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,PNG: Papua New Guinea,DM_FRATE_TOT: Total fertility rate,_T: Total,2018,3.564,0: Units,PCNT: %,,,,,,,,UNPD2019,,,,,,
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,PRY: Paraguay,DM_FRATE_TOT: Total fertility rate,_T: Total,2018,2.429,0: Units,PCNT: %,,,,,,,,UNPD2019,,,,,,
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,PER: Peru,DM_FRATE_TOT: Total fertility rate,_T: Total,2018,2.254,0: Units,PCNT: %,,,,,,,,UNPD2019,,,,,,
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,PHL: Philippines,DM_FRATE_TOT: Total fertility rate,_T: Total,2018,2.576,0: Units,PCNT: %,,,,,,,,UNPD2019,,,,,,
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,POL: Poland,DM_FRATE_TOT: Total fertility rate,_T: Total,2018,1.421,0: Units,PCNT: %,,,,,,,,UNPD2019,,,,,,
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,PRT: Portugal,DM_FRATE_TOT: Total fertility rate,_T: Total,2018,1.292,0: Units,PCNT: %,,,,,,,,UNPD2019,,,,,,
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,QAT: Qatar,DM_FRATE_TOT: Total fertility rate,_T: Total,2018,1.866,0: Units,PCNT: %,,,,,,,,UNPD2019,,,,,,
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,KOR: Republic of Korea,DM_FRATE_TOT: Total fertility rate,_T: Total,2018,1.11,0: Units,PCNT: %,,,,,,,,UNPD2019,,,,,,
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,MDA: Republic of Moldova,DM_FRATE_TOT: Total fertility rate,_T: Total,2018,1.262,0: Units,PCNT: %,,,,,,,,UNPD2019,,,,,,
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,ROU: Romania,DM_FRATE_TOT: Total fertility rate,_T: Total,2018,1.619,0: Units,PCNT: %,,,,,,,,UNPD2019,,,,,,
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,RUS: Russian Federation,DM_FRATE_TOT: Total fertility rate,_T: Total,2018,1.824,0: Units,PCNT: %,,,,,,,,UNPD2019,,,,,,
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,RWA: Rwanda,DM_FRATE_TOT: Total fertility rate,_T: Total,2018,4.044,0: Units,PCNT: %,,,,,,,,UNPD2019,,,,,,
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,KNA: Saint Kitts and Nevis,DM_FRATE_TOT: Total fertility rate,_T: Total,2018,,0: Units,PCNT: %,,,,,,,,UNPD2019,,,,,,
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,LCA: Saint Lucia,DM_FRATE_TOT: Total fertility rate,_T: Total,2018,1.436,0: Units,PCNT: %,,,,,,,,UNPD2019,,,,,,
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,VCT: Saint Vincent and the Grenadines,DM_FRATE_TOT: Total fertility rate,_T: Total,2018,1.891,0: Units,PCNT: %,,,,,,,,UNPD2019,,,,,,
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,WSM: Samoa,DM_FRATE_TOT: Total fertility rate,_T: Total,2018,3.877,0: Units,PCNT: %,,,,,,,,UNPD2019,,,,,,
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,SMR: San Marino,DM_FRATE_TOT: Total fertility rate,_T: Total,2018,,0: Units,PCNT: %,,,,,,,,UNPD2019,,,,,,
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,STP: Sao Tome and Principe,DM_FRATE_TOT: Total fertility rate,_T: Total,2018,4.321,0: Units,PCNT: %,,,,,,,,UNPD2019,,,,,,
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,SAU: Saudi Arabia,DM_FRATE_TOT: Total fertility rate,_T: Total,2018,2.319,0: Units,PCNT: %,,,,,,,,UNPD2019,,,,,,
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,SEN: Senegal,DM_FRATE_TOT: Total fertility rate,_T: Total,2018,4.625,0: Units,PCNT: %,,,,,,,,UNPD2019,,,,,,
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,SRB: Serbia,DM_FRATE_TOT: Total fertility rate,_T: Total,2018,1.451,0: Units,PCNT: %,,,,,,,,UNPD2019,,,,,,
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,SYC: Seychelles,DM_FRATE_TOT: Total fertility rate,_T: Total,2018,2.446,0: Units,PCNT: %,,,,,,,,UNPD2019,,,,,,
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,SLE: Sierra Leone,DM_FRATE_TOT: Total fertility rate,_T: Total,2018,4.263,0: Units,PCNT: %,,,,,,,,UNPD2019,,,,,,
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,SGP: Singapore,DM_FRATE_TOT: Total fertility rate,_T: Total,2018,1.213,0: Units,PCNT: %,,,,,,,,UNPD2019,,,,,,
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,SVK: Slovakia,DM_FRATE_TOT: Total fertility rate,_T: Total,2018,1.505,0: Units,PCNT: %,,,,,,,,UNPD2019,,,,,,
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,SVN: Slovenia,DM_FRATE_TOT: Total fertility rate,_T: Total,2018,1.608,0: Units,PCNT: %,,,,,,,,UNPD2019,,,,,,
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,SLB: Solomon Islands,DM_FRATE_TOT: Total fertility rate,_T: Total,2018,4.403,0: Units,PCNT: %,,,,,,,,UNPD2019,,,,,,
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,SOM: Somalia,DM_FRATE_TOT: Total fertility rate,_T: Total,2018,6.072,0: Units,PCNT: %,,,,,,,,UNPD2019,,,,,,
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,ZAF: South Africa,DM_FRATE_TOT: Total fertility rate,_T: Total,2018,2.405,0: Units,PCNT: %,,,,,,,,UNPD2019,,,,,,
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,SSD: South Sudan,DM_FRATE_TOT: Total fertility rate,_T: Total,2018,4.696,0: Units,PCNT: %,,,,,,,,UNPD2019,,,,,,
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,ESP: Spain,DM_FRATE_TOT: Total fertility rate,_T: Total,2018,1.333,0: Units,PCNT: %,,,,,,,,UNPD2019,,,,,,
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,LKA: Sri Lanka,DM_FRATE_TOT: Total fertility rate,_T: Total,2018,2.199,0: Units,PCNT: %,,,,,,,,UNPD2019,,,,,,
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,PSE: State of Palestine,DM_FRATE_TOT: Total fertility rate,_T: Total,2018,3.643,0: Units,PCNT: %,,,,,,,,UNPD2019,,,,,,
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,SDN: Sudan,DM_FRATE_TOT: Total fertility rate,_T: Total,2018,4.407,0: Units,PCNT: %,,,,,,,,UNPD2019,,,,,,
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,SUR: Suriname,DM_FRATE_TOT: Total fertility rate,_T: Total,2018,2.418,0: Units,PCNT: %,,,,,,,,UNPD2019,,,,,,
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,SWE: Sweden,DM_FRATE_TOT: Total fertility rate,_T: Total,2018,1.852,0: Units,PCNT: %,,,,,,,,UNPD2019,,,,,,
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,CHE: Switzerland,DM_FRATE_TOT: Total fertility rate,_T: Total,2018,1.539,0: Units,PCNT: %,,,,,,,,UNPD2019,,,,,,
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,SYR: Syrian Arab Republic,DM_FRATE_TOT: Total fertility rate,_T: Total,2018,2.808,0: Units,PCNT: %,,,,,,,,UNPD2019,,,,,,
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,TJK: Tajikistan,DM_FRATE_TOT: Total fertility rate,_T: Total,2018,3.585,0: Units,PCNT: %,,,,,,,,UNPD2019,,,,,,
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,THA: Thailand,DM_FRATE_TOT: Total fertility rate,_T: Total,2018,1.525,0: Units,PCNT: %,,,,,,,,UNPD2019,,,,,,
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,TLS: Timor-Leste,DM_FRATE_TOT: Total fertility rate,_T: Total,2018,4.023,0: Units,PCNT: %,,,,,,,,UNPD2019,,,,,,
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,TGO: Togo,DM_FRATE_TOT: Total fertility rate,_T: Total,2018,4.32,0: Units,PCNT: %,,,,,,,,UNPD2019,,,,,,
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,TKL: Tokelau,DM_FRATE_TOT: Total fertility rate,_T: Total,2018,,0: Units,PCNT: %,,,,,,,,UNPD2019,,,,,,
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,TON: Tonga,DM_FRATE_TOT: Total fertility rate,_T: Total,2018,3.556,0: Units,PCNT: %,,,,,,,,UNPD2019,,,,,,
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,TTO: Trinidad and Tobago,DM_FRATE_TOT: Total fertility rate,_T: Total,2018,1.725,0: Units,PCNT: %,,,,,,,,UNPD2019,,,,,,
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,TUN: Tunisia,DM_FRATE_TOT: Total fertility rate,_T: Total,2018,2.197,0: Units,PCNT: %,,,,,,,,UNPD2019,,,,,,
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,TUR: Turkey,DM_FRATE_TOT: Total fertility rate,_T: Total,2018,2.069,0: Units,PCNT: %,,,,,,,,UNPD2019,,,,,,
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,TKM: Turkmenistan,DM_FRATE_TOT: Total fertility rate,_T: Total,2018,2.786,0: Units,PCNT: %,,,,,,,,UNPD2019,,,,,,
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,TCA: Turks and Caicos Islands,DM_FRATE_TOT: Total fertility rate,_T: Total,2018,,0: Units,PCNT: %,,,,,,,,UNPD2019,,,,,,
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,TUV: Tuvalu,DM_FRATE_TOT: Total fertility rate,_T: Total,2018,,0: Units,PCNT: %,,,,,,,,UNPD2019,,,,,,
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,UGA: Uganda,DM_FRATE_TOT: Total fertility rate,_T: Total,2018,4.955,0: Units,PCNT: %,,,,,,,,UNPD2019,,,,,,
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,UKR: Ukraine,DM_FRATE_TOT: Total fertility rate,_T: Total,2018,1.446,0: Units,PCNT: %,,,,,,,,UNPD2019,,,,,,
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,ARE: United Arab Emirates,DM_FRATE_TOT: Total fertility rate,_T: Total,2018,1.413,0: Units,PCNT: %,,,,,,,,UNPD2019,,,,,,
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,GBR: United Kingdom,DM_FRATE_TOT: Total fertility rate,_T: Total,2018,1.755,0: Units,PCNT: %,,,,,,,,UNPD2019,,,,,,
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,TZA: United Republic of Tanzania,DM_FRATE_TOT: Total fertility rate,_T: Total,2018,4.892,0: Units,PCNT: %,,,,,,,,UNPD2019,,,,,,
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,USA: United States,DM_FRATE_TOT: Total fertility rate,_T: Total,2018,1.775,0: Units,PCNT: %,,,,,,,,UNPD2019,,,,,,
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,URY: Uruguay,DM_FRATE_TOT: Total fertility rate,_T: Total,2018,1.973,0: Units,PCNT: %,,,,,,,,UNPD2019,,,,,,
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,UZB: Uzbekistan,DM_FRATE_TOT: Total fertility rate,_T: Total,2018,2.414,0: Units,PCNT: %,,,,,,,,UNPD2019,,,,,,
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,VUT: Vanuatu,DM_FRATE_TOT: Total fertility rate,_T: Total,2018,3.782,0: Units,PCNT: %,,,,,,,,UNPD2019,,,,,,
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,VEN: Venezuela (Bolivarian Republic of),DM_FRATE_TOT: Total fertility rate,_T: Total,2018,2.272,0: Units,PCNT: %,,,,,,,,UNPD2019,,,,,,
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,VNM: Viet Nam,DM_FRATE_TOT: Total fertility rate,_T: Total,2018,2.049,0: Units,PCNT: %,,,,,,,,UNPD2019,,,,,,
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,YEM: Yemen,DM_FRATE_TOT: Total fertility rate,_T: Total,2018,3.792,0: Units,PCNT: %,,,,,,,,UNPD2019,,,,,,
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,ZMB: Zambia,DM_FRATE_TOT: Total fertility rate,_T: Total,2018,4.633,0: Units,PCNT: %,,,,,,,,UNPD2019,,,,,,
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,ZWE: Zimbabwe,DM_FRATE_TOT: Total fertility rate,_T: Total,2018,3.615,0: Units,PCNT: %,,,,,,,,UNPD2019,,,,,,
