DATAFLOW,REF_AREA:Geographic area,INDICATOR:Indicator,SEX:Sex,TIME_PERIOD:Time period,OBS_VALUE:Observation Value,UNIT_MULTIPLIER:Unit multiplier,UNIT_MEASURE:Unit of measure,OBS_STATUS:Observation Status,OBS_CONF:Observation confidentaility,LOWER_BOUND:Lower Bound,UPPER_BOUND:Upper Bound,WGTD_SAMPL_SIZE:Weighted Sample Size,OBS_FOOTNOTE:Observation footnote,SERIES_FOOTNOTE:Series footnote,DATA_SOURCE:Data Source,SOURCE_LINK:Citation of or link to the data source,CUSTODIAN:Custodian,TIME_PERIOD_METHOD:Time period activity related to when the data are collected,REF_PERIOD:Reference Period,COVERAGE_TIME:The period of time for which data are provided,AGE:Current age
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,CIV: Côte d'Ivoire,DM_FRATE_TOT: Total fertility rate,_T: Total,2018,4.649,0: Units,PCNT: %,,,,,,,,UNPD2019,,,,,,
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,PRK: Democratic People's Republic of Korea,DM_FRATE_TOT: Total fertility rate,_T: Total,2018,1.904,0: Units,PCNT: %,,,,,,,,UNPD2019,,,,,,
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,COD: Democratic Republic of the Congo,DM_FRATE_TOT: Total fertility rate,_T: Total,2018,5.919,0: Units,PCNT: %,,,,,,,,UNPD2019,,,,,,
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,DNK: Denmark,DM_FRATE_TOT: Total fertility rate,_T: Total,2018,1.758,0: Units,PCNT: %,,,,,,,,UNPD2019,,,,,,
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,DJI: Djibouti,DM_FRATE_TOT: Total fertility rate,_T: Total,2018,2.728,0: Units,PCNT: %,,,,,,,,UNPD2019,,,,,,
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,DMA: Dominica,DM_FRATE_TOT: Total fertility rate,_T: Total,2018,,0: Units,PCNT: %,,,,,,,,UNPD2019,,,,,,
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,DOM: Dominican Republic,DM_FRATE_TOT: Total fertility rate,_T: Total,2018,2.346,0: Units,PCNT: %,,,,,,,,UNPD2019,,,,,,
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,ECU: Ecuador,DM_FRATE_TOT: Total fertility rate,_T: Total,2018,2.427,0: Units,PCNT: %,,,,,,,,UNPD2019,,,,,,
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,EGY: Egypt,DM_FRATE_TOT: Total fertility rate,_T: Total,2018,3.326,0: Units,PCNT: %,,,,,,,,UNPD2019,,,,,,
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,SLV: El Salvador,DM_FRATE_TOT: Total fertility rate,_T: Total,2018,2.039,0: Units,PCNT: %,,,,,,,,UNPD2019,,,,,,
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,GNQ: Equatorial Guinea,DM_FRATE_TOT: Total fertility rate,_T: Total,2018,4.513,0: Units,PCNT: %,,,,,,,,UNPD2019,,,,,,
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,ERI: Eritrea,DM_FRATE_TOT: Total fertility rate,_T: Total,2018,4.056,0: Units,PCNT: %,,,,,,,,UNPD2019,,,,,,
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,EST: Estonia,DM_FRATE_TOT: Total fertility rate,_T: Total,2018,1.591,0: Units,PCNT: %,,,,,,,,UNPD2019,,,,,,
